order_id,payment_sequential,payment_type,payment_installments,payment_value
order_000048,1,credit_card,11,474.57
order_000049,1,credit_card,6,55.75
order_000050,1,voucher,11,827.71
order_000051,1,credit_card,6,732.12
order_000052,1,credit_card,12,989.9
order_000053,1,credit_card,9,666.99
order_000054,1,credit_card,12,438.17
order_000055,1,credit_card,3,959.3
order_000055,2,credit_card,1,864.9
order_000056,1,credit_card,4,569.21
order_000057,1,boleto,7,746.27
order_000058,1,credit_card,4,971.29
order_000059,1,credit_card,10,653.27
order_000059,2,debit_card,8,453.84
order_000060,1,credit_card,7,556.54
order_000060,2,credit_card,1,133.64
order_000061,1,credit_card,6,879.75
order_000061,2,boleto,8,860.39
order_000062,1,boleto,8,255.13
order_000063,1,credit_card,12,759.98
order_000063,2,boleto,9,605.7
order_000064,1,credit_card,7,208.91
order_000065,1,credit_card,7,884.01
order_000065,2,credit_card,7,857.24
order_000066,1,credit_card,9,763.68
order_000067,1,credit_card,2,723.71
order_000067,2,boleto,8,298.13
order_000068,1,credit_card,2,691.9
order_000069,1,credit_card,9,924.84
order_000069,2,boleto,3,662.94
order_000070,1,credit_card,9,495.6
order_000071,1,boleto,9,935.59
order_000071,2,credit_card,11,344.58
order_000072,1,voucher,8,34.14
order_000072,2,credit_card,5,818.8
order_000073,1,credit_card,5,709.69
order_000073,2,credit_card,4,270.73
order_000074,1,credit_card,4,658.74
order_000075,1,boleto,8,88.15
order_000075,2,voucher,6,585.48
order_000076,1,debit_card,1,888.11
order_000077,1,credit_card,8,486.46
order_000078,1,credit_card,4,250.9
order_000078,2,credit_card,3,100.6
order_000079,1,debit_card,8,50.77
order_000079,2,credit_card,4,869.21
order_000080,1,credit_card,2,399.15
order_000080,2,credit_card,7,490.9
order_000081,1,debit_card,3,234.38
order_000082,1,credit_card,2,875.92
order_000082,2,credit_card,9,724.91
order_000083,1,credit_card,4,446.04
order_000084,1,credit_card,2,95.45
order_000085,1,boleto,7,907.4
order_000085,2,boleto,2,940.53
order_000086,1,voucher,1,339.8
order_000086,2,credit_card,10,357.11
order_000087,1,credit_card,4,279.85
order_000088,1,debit_card,3,218.08
order_000088,2,credit_card,5,912.51
order_000089,1,credit_card,11,536.63
order_000089,2,credit_card,11,900.37
order_000090,1,boleto,3,467.77
order_000090,2,boleto,8,557.57
order_000091,1,credit_card,8,69.9
order_000091,2,credit_card,3,189.06
order_000092,1,credit_card,9,848.25
order_000093,1,credit_card,11,300.57
order_000094,1,debit_card,10,126.03
order_000095,1,boleto,1,586.77
order_000095,2,credit_card,4,782.4
order_000096,1,boleto,3,207.31
order_000097,1,credit_card,11,563.1
order_000097,2,credit_card,10,996.17
order_000098,1,credit_card,7,442.21
order_000099,1,boleto,12,984.28
order_000099,2,credit_card,9,687.53
order_000100,1,debit_card,2,835.49
order_000100,2,credit_card,3,890.6
order_000101,1,credit_card,5,540.51
order_000101,2,boleto,6,780.04
order_000102,1,debit_card,6,112.27
order_000103,1,boleto,1,635.27
order_000103,2,voucher,9,618.93
order_000104,1,credit_card,5,29.07
order_000105,1,debit_card,6,864.76
order_000105,2,credit_card,10,533.37
order_000106,1,credit_card,2,457.62
order_000106,2,credit_card,12,728.57
order_000107,1,credit_card,5,178.82
order_000108,1,voucher,6,106.97
order_000108,2,credit_card,9,36.61
order_000109,1,boleto,8,530.42
order_000110,1,credit_card,3,545.97
order_000110,2,credit_card,3,132.44
order_000111,1,credit_card,11,371.91
order_000111,2,credit_card,8,645.13
order_000112,1,boleto,10,96.94
order_000112,2,credit_card,3,340.45
order_000113,1,boleto,2,525.1
order_000113,2,credit_card,7,582.17
order_000114,1,credit_card,11,865.57
order_000115,1,credit_card,5,837.12
order_000116,1,credit_card,1,199.79
order_000116,2,boleto,4,857.03
order_000117,1,boleto,9,462.77
order_000118,1,boleto,8,520.9
order_000118,2,credit_card,2,223.03
order_000119,1,credit_card,3,846.01
order_000120,1,credit_card,1,472.21
order_000120,2,boleto,7,764.18
order_000121,1,credit_card,6,583.24
order_000121,2,credit_card,6,108.61
order_000122,1,credit_card,10,680.0
order_000122,2,credit_card,11,838.12
order_000123,1,boleto,10,885.11
order_000123,2,debit_card,2,965.21
order_000124,1,boleto,5,531.38
order_000125,1,credit_card,4,997.29
order_000125,2,credit_card,7,91.13
order_000126,1,credit_card,12,156.35
order_000127,1,credit_card,7,111.74
order_000127,2,credit_card,4,72.9
order_000128,1,credit_card,3,574.47
order_000128,2,credit_card,7,742.19
order_000129,1,credit_card,5,131.98
order_000130,1,credit_card,4,702.41
order_000130,2,boleto,7,863.26
order_000131,1,credit_card,1,941.87
order_000132,1,credit_card,4,782.12
order_000133,1,credit_card,1,792.89
order_000134,1,credit_card,3,470.11
order_000135,1,boleto,2,203.53
order_000136,1,credit_card,10,930.83
order_000136,2,credit_card,4,780.36
order_000137,1,boleto,12,246.75
order_000137,2,credit_card,5,900.66
order_000138,1,credit_card,9,216.4
order_000138,2,credit_card,10,471.37
order_000139,1,credit_card,8,273.26
order_000139,2,debit_card,6,490.24
order_000140,1,credit_card,10,111.01
order_000140,2,boleto,12,331.95
order_000141,1,credit_card,12,286.86
order_000142,1,credit_card,11,713.45
order_000143,1,credit_card,2,882.01
order_000143,2,credit_card,8,663.55
order_000144,1,credit_card,6,675.97
order_000145,1,credit_card,1,487.71
order_000146,1,debit_card,11,120.47
order_000146,2,credit_card,6,403.11
order_000147,1,credit_card,5,520.25
order_000148,1,credit_card,12,951.53
order_000148,2,credit_card,7,233.74
order_000149,1,credit_card,4,193.16
order_000149,2,credit_card,8,626.26
order_000150,1,credit_card,7,795.84
order_000151,1,credit_card,4,78.18
order_000151,2,voucher,1,466.46
order_000152,1,credit_card,11,536.59
order_000153,1,credit_card,2,207.51
order_000153,2,credit_card,11,157.11
order_000154,1,credit_card,11,190.82
order_000155,1,credit_card,9,158.98
order_000156,1,credit_card,11,50.58
order_000157,1,credit_card,4,722.18
order_000158,1,credit_card,2,219.96
order_000158,2,credit_card,11,928.52
order_000159,1,credit_card,10,485.66
order_000160,1,debit_card,1,828.02
order_000161,1,debit_card,11,726.22
order_000162,1,credit_card,1,487.02
order_000162,2,boleto,2,766.03
order_000163,1,credit_card,9,538.41
order_000164,1,credit_card,2,335.23
order_000164,2,credit_card,3,140.03
order_000165,1,credit_card,2,553.64
order_000166,1,credit_card,9,381.19
order_000167,1,credit_card,11,210.36
order_000167,2,boleto,12,738.35
order_000168,1,boleto,11,394.36
order_000168,2,credit_card,11,256.22
order_000169,1,credit_card,11,423.97
order_000169,2,credit_card,4,927.2
order_000170,1,boleto,8,305.98
order_000170,2,boleto,4,869.32
order_000171,1,boleto,2,204.16
order_000171,2,boleto,7,790.16
order_000172,1,credit_card,8,616.93
order_000172,2,credit_card,5,934.6
order_000173,1,voucher,1,440.37
order_000173,2,credit_card,4,779.54
order_000174,1,debit_card,12,699.5
order_000175,1,credit_card,2,758.03
order_000175,2,credit_card,10,615.07
order_000176,1,boleto,3,999.64
order_000176,2,boleto,7,573.91
order_000177,1,credit_card,8,246.08
order_000178,1,credit_card,3,774.94
order_000178,2,credit_card,4,214.25
order_000179,1,credit_card,2,249.92
order_000180,1,credit_card,6,484.57
order_000180,2,credit_card,8,918.91
order_000181,1,debit_card,8,496.2
order_000182,1,boleto,9,468.46
order_000183,1,boleto,2,618.58
order_000183,2,credit_card,9,968.58
order_000184,1,credit_card,6,845.91
order_000185,1,credit_card,8,538.18
order_000185,2,credit_card,1,184.85
order_000186,1,credit_card,4,180.28
order_000187,1,credit_card,4,773.38
order_000188,1,boleto,1,498.17
order_000188,2,boleto,7,464.7
order_000189,1,credit_card,4,258.49
order_000189,2,credit_card,7,555.78
order_000190,1,credit_card,1,537.19
order_000190,2,credit_card,12,629.91
order_000191,1,credit_card,5,30.64
order_000191,2,credit_card,2,522.75
order_000192,1,credit_card,10,933.97
order_000193,1,credit_card,6,149.32
order_000193,2,boleto,7,286.73
order_000194,1,credit_card,8,886.4
order_000195,1,credit_card,7,902.92
order_000195,2,credit_card,11,589.03
order_000196,1,credit_card,3,635.37
order_000196,2,boleto,9,827.98
order_000197,1,boleto,9,584.2
order_000197,2,credit_card,7,58.54
order_000198,1,debit_card,3,487.76
order_000198,2,voucher,5,190.67
order_000199,1,boleto,3,870.43
order_000199,2,credit_card,6,939.24
order_000200,1,credit_card,2,938.3
order_000200,2,credit_card,8,246.77
order_000201,1,credit_card,1,523.97
order_000202,1,boleto,6,261.36
order_000202,2,credit_card,4,174.71
order_000203,1,credit_card,12,247.6
order_000203,2,credit_card,2,845.85
order_000204,1,credit_card,12,654.09
order_000204,2,boleto,6,443.47
order_000205,1,credit_card,1,356.97
order_000205,2,boleto,5,776.07
order_000206,1,credit_card,8,721.58
order_000206,2,credit_card,4,783.24
order_000207,1,credit_card,11,709.17
order_000207,2,boleto,4,881.81
order_000208,1,credit_card,6,421.23
order_000208,2,credit_card,10,440.42
order_000209,1,debit_card,8,641.69
order_000210,1,credit_card,2,942.56
order_000211,1,credit_card,12,763.73
order_000212,1,credit_card,1,495.92
order_000213,1,credit_card,6,247.68
order_000214,1,credit_card,7,862.28
order_000214,2,credit_card,9,360.4
order_000215,1,credit_card,8,758.96
order_000215,2,credit_card,1,612.46
order_000216,1,credit_card,1,853.26
order_000217,1,voucher,2,584.38
order_000217,2,credit_card,9,174.55
order_000218,1,credit_card,2,888.34
order_000219,1,credit_card,4,487.59
order_000220,1,debit_card,7,426.85
order_000220,2,credit_card,8,814.14
order_000221,1,credit_card,6,842.78
order_000221,2,credit_card,5,490.07
order_000222,1,credit_card,3,718.83
order_000223,1,credit_card,7,931.48
order_000223,2,credit_card,7,507.41
order_000224,1,credit_card,2,608.09
order_000225,1,credit_card,11,452.99
order_000225,2,credit_card,2,847.26
order_000226,1,boleto,5,877.29
order_000227,1,credit_card,12,896.87
order_000227,2,voucher,8,232.67
order_000228,1,credit_card,9,298.22
order_000228,2,credit_card,9,174.07
order_000229,1,credit_card,5,54.33
order_000229,2,boleto,7,612.52
order_000230,1,credit_card,4,622.14
order_000231,1,credit_card,9,641.65
order_000232,1,boleto,1,940.87
order_000232,2,credit_card,5,553.81
order_000233,1,credit_card,2,292.77
order_000234,1,boleto,11,724.33
order_000234,2,boleto,8,991.44
order_000235,1,credit_card,1,452.69
order_000236,1,boleto,11,746.52
order_000237,1,credit_card,7,425.12
order_000238,1,boleto,4,263.9
order_000239,1,credit_card,4,756.42
order_000240,1,credit_card,8,667.16
order_000241,1,credit_card,6,825.22
order_000241,2,credit_card,3,391.71
order_000242,1,credit_card,7,678.27
order_000243,1,credit_card,6,638.38
order_000244,1,voucher,5,687.67
order_000245,1,credit_card,10,921.62
order_000245,2,credit_card,10,614.81
order_000246,1,credit_card,4,811.67
order_000246,2,credit_card,6,412.03
order_000247,1,debit_card,11,713.77
order_000247,2,boleto,10,92.38
order_000248,1,credit_card,6,971.85
order_000248,2,credit_card,1,359.31
order_000249,1,credit_card,4,61.48
order_000250,1,credit_card,4,271.63
order_000250,2,credit_card,6,177.28
order_000251,1,boleto,6,380.59
order_000252,1,credit_card,11,95.94
order_000253,1,credit_card,3,347.09
order_000254,1,credit_card,4,549.93
order_000254,2,credit_card,6,661.44
order_000255,1,credit_card,10,255.08
order_000256,1,credit_card,5,508.36
order_000256,2,credit_card,10,915.24
order_000257,1,boleto,12,942.53
order_000257,2,credit_card,2,98.96
order_000258,1,credit_card,4,178.02
order_000258,2,boleto,6,224.97
order_000259,1,credit_card,2,122.61
order_000260,1,credit_card,9,146.01
order_000260,2,credit_card,4,124.14
order_000261,1,credit_card,1,563.98
order_000261,2,credit_card,6,71.95
order_000262,1,credit_card,1,42.83
order_000262,2,boleto,12,657.69
order_000263,1,credit_card,12,426.74
order_000264,1,credit_card,6,124.5
order_000265,1,credit_card,9,930.05
order_000265,2,credit_card,3,239.18
order_000266,1,credit_card,2,27.39
order_000267,1,credit_card,9,609.11
order_000267,2,credit_card,5,369.04
order_000268,1,credit_card,5,284.84
order_000268,2,credit_card,10,786.56
order_000269,1,boleto,5,411.68
order_000270,1,debit_card,5,845.96
order_000270,2,credit_card,2,411.96
order_000271,1,credit_card,10,853.57
order_000272,1,credit_card,9,524.41
order_000273,1,credit_card,10,226.24
order_000274,1,credit_card,9,898.22
order_000275,1,credit_card,9,525.6
order_000276,1,boleto,2,358.9
order_000276,2,credit_card,6,91.78
order_000277,1,debit_card,3,24.25
order_000278,1,credit_card,2,98.63
order_000279,1,debit_card,8,194.84
order_000279,2,credit_card,3,704.5
order_000280,1,credit_card,4,903.7
order_000281,1,credit_card,4,455.76
order_000281,2,voucher,5,38.16
order_000282,1,boleto,1,932.77
order_000283,1,credit_card,7,857.56
order_000283,2,boleto,1,93.38
order_000284,1,credit_card,7,272.8
order_000284,2,credit_card,7,307.45
order_000285,1,boleto,4,150.65
order_000286,1,credit_card,7,871.12
order_000286,2,credit_card,3,194.57
order_000287,1,voucher,3,759.5
order_000287,2,credit_card,3,206.58
order_000288,1,credit_card,1,812.29
order_000289,1,credit_card,11,35.36
order_000289,2,credit_card,11,41.05
order_000290,1,credit_card,8,230.26
order_000290,2,credit_card,3,739.99
order_000291,1,credit_card,8,382.54
order_000291,2,credit_card,9,260.84
order_000292,1,credit_card,10,775.31
order_000293,1,credit_card,4,38.26
order_000294,1,credit_card,4,111.6
order_000294,2,credit_card,1,692.32
order_000295,1,credit_card,3,350.4
order_000295,2,credit_card,8,104.27
order_000296,1,credit_card,6,670.19
order_000297,1,credit_card,4,657.79
order_000297,2,boleto,9,134.98
order_000298,1,credit_card,4,639.15
order_000299,1,credit_card,7,711.91
order_000300,1,boleto,4,967.6
order_000301,1,credit_card,3,342.05
order_000302,1,credit_card,1,644.49
order_000302,2,boleto,6,679.12
order_000303,1,credit_card,3,149.7
order_000303,2,boleto,5,206.93
order_000304,1,debit_card,7,653.42
order_000304,2,credit_card,6,943.21
order_000305,1,voucher,6,700.69
order_000305,2,voucher,8,55.25
order_000306,1,credit_card,4,571.42
order_000306,2,credit_card,9,342.25
order_000307,1,credit_card,6,20.9
order_000308,1,voucher,3,422.24
order_000308,2,debit_card,9,998.7
order_000309,1,credit_card,3,569.96
order_000309,2,boleto,4,497.1
order_000310,1,credit_card,3,43.94
order_000311,1,credit_card,3,293.23
order_000312,1,credit_card,4,462.28
order_000312,2,credit_card,3,325.72
order_000313,1,boleto,5,142.73
order_000313,2,boleto,1,473.74
order_000314,1,debit_card,1,918.2
order_000315,1,credit_card,9,153.75
order_000316,1,boleto,10,848.31
order_000317,1,boleto,1,940.55
order_000317,2,credit_card,8,572.58
order_000318,1,boleto,9,729.64
order_000319,1,boleto,4,415.27
order_000319,2,credit_card,12,247.66
order_000320,1,boleto,8,846.48
order_000321,1,credit_card,1,714.85
order_000321,2,credit_card,1,118.9
order_000322,1,boleto,10,972.36
order_000322,2,credit_card,12,500.07
order_000323,1,credit_card,12,56.04
order_000323,2,credit_card,2,665.04
order_000324,1,debit_card,3,768.78
order_000324,2,credit_card,8,944.7
order_000325,1,credit_card,11,536.16
order_000326,1,credit_card,11,227.05
order_000326,2,credit_card,3,896.51
order_000327,1,credit_card,3,547.93
order_000328,1,credit_card,5,329.98
order_000329,1,credit_card,6,96.57
order_000329,2,credit_card,6,127.44
order_000330,1,credit_card,11,69.01
order_000331,1,credit_card,11,146.79
order_000332,1,credit_card,7,169.32
order_000333,1,credit_card,3,541.05
order_000334,1,credit_card,5,169.47
order_000334,2,credit_card,5,91.68
order_000335,1,boleto,1,270.91
order_000336,1,credit_card,8,801.79
order_000336,2,credit_card,10,456.58
order_000337,1,boleto,1,869.98
order_000337,2,credit_card,4,135.67
order_000338,1,credit_card,8,516.6
order_000338,2,credit_card,12,702.58
order_000339,1,credit_card,1,825.64
order_000339,2,credit_card,2,732.94
order_000340,1,credit_card,5,440.61
order_000340,2,credit_card,1,735.35
order_000341,1,voucher,10,490.69
order_000342,1,boleto,12,561.55
order_000343,1,credit_card,1,166.92
order_000344,1,boleto,2,522.11
order_000345,1,credit_card,8,472.94
order_000345,2,credit_card,4,554.34
order_000346,1,credit_card,9,419.35
order_000347,1,credit_card,7,759.37
order_000347,2,credit_card,9,513.77
order_000348,1,credit_card,10,723.61
order_000348,2,credit_card,5,98.55
order_000349,1,credit_card,3,721.6
order_000350,1,credit_card,8,912.35
order_000351,1,credit_card,11,909.56
order_000351,2,credit_card,11,167.83
order_000352,1,credit_card,4,692.62
order_000353,1,credit_card,6,149.29
order_000354,1,debit_card,4,947.36
order_000354,2,credit_card,4,462.04
order_000355,1,credit_card,12,586.35
order_000355,2,boleto,3,463.33
order_000356,1,boleto,6,300.89
order_000357,1,credit_card,10,986.4
order_000358,1,credit_card,7,534.5
order_000358,2,credit_card,10,275.93
order_000359,1,credit_card,7,36.49
order_000360,1,credit_card,7,324.32
order_000360,2,credit_card,5,913.31
order_000361,1,boleto,3,884.08
order_000362,1,credit_card,1,187.19
order_000362,2,credit_card,7,42.51
order_000363,1,credit_card,10,323.21
order_000363,2,credit_card,9,151.86
order_000364,1,boleto,11,798.9
order_000364,2,boleto,8,632.98
order_000365,1,credit_card,6,658.65
order_000366,1,credit_card,6,266.38
order_000367,1,credit_card,10,589.32
order_000367,2,credit_card,1,237.46
order_000368,1,credit_card,5,418.31
order_000369,1,voucher,5,689.72
order_000370,1,credit_card,12,45.34
order_000371,1,credit_card,8,677.88
order_000372,1,credit_card,11,383.12
order_000373,1,boleto,6,418.33
order_000373,2,debit_card,10,819.89
order_000374,1,credit_card,2,976.67
order_000375,1,credit_card,12,475.73
order_000376,1,boleto,3,177.13
order_000376,2,boleto,4,48.9
order_000377,1,credit_card,4,916.75
order_000377,2,credit_card,7,374.76
order_000378,1,credit_card,7,136.28
order_000378,2,credit_card,3,55.09
order_000379,1,credit_card,2,624.53
order_000380,1,credit_card,9,635.21
order_000380,2,credit_card,3,159.31
order_000381,1,voucher,7,247.96
order_000381,2,credit_card,1,533.23
order_000382,1,credit_card,11,289.43
order_000382,2,credit_card,1,753.2
order_000383,1,credit_card,11,963.75
order_000384,1,credit_card,7,453.73
order_000385,1,voucher,1,153.83
order_000385,2,credit_card,9,584.13
order_000386,1,credit_card,7,868.82
order_000386,2,boleto,11,276.09
order_000387,1,credit_card,5,503.09
order_000388,1,credit_card,12,327.89
order_000388,2,credit_card,3,668.78
order_000389,1,credit_card,12,404.52
order_000390,1,boleto,5,102.31
order_000391,1,debit_card,6,323.24
order_000392,1,credit_card,7,688.81
order_000392,2,credit_card,6,344.62
order_000393,1,boleto,11,585.79
order_000394,1,boleto,3,495.11
order_000395,1,credit_card,2,935.3
order_000395,2,credit_card,2,912.11
order_000396,1,credit_card,12,571.38
order_000397,1,boleto,6,884.37
order_000398,1,boleto,9,994.62
order_000399,1,debit_card,12,336.81
order_000400,1,credit_card,2,156.16
order_000401,1,credit_card,8,972.05
order_000402,1,credit_card,9,211.25
order_000403,1,credit_card,2,123.04
order_000404,1,boleto,11,901.83
order_000405,1,credit_card,3,604.07
order_000406,1,credit_card,9,78.13
order_000407,1,credit_card,7,505.46
order_000408,1,credit_card,12,311.13
order_000408,2,credit_card,12,426.5
order_000409,1,credit_card,7,747.93
order_000410,1,credit_card,11,395.0
order_000411,1,credit_card,5,614.8
order_000412,1,boleto,12,208.06
order_000413,1,boleto,5,964.15
order_000414,1,credit_card,9,628.28
order_000414,2,credit_card,5,393.28
order_000415,1,credit_card,3,578.22
order_000415,2,boleto,11,657.73
order_000416,1,credit_card,4,430.79
order_000417,1,credit_card,1,40.0
order_000418,1,credit_card,7,511.09
order_000419,1,voucher,1,808.47
order_000419,2,credit_card,3,486.39
order_000420,1,credit_card,9,30.3
order_000421,1,credit_card,1,998.78
order_000421,2,debit_card,2,633.27
order_000422,1,boleto,3,328.03
order_000423,1,voucher,7,796.15
order_000424,1,voucher,9,722.04
order_000424,2,credit_card,6,515.69
order_000425,1,credit_card,4,341.99
order_000426,1,credit_card,4,682.66
order_000427,1,credit_card,6,202.18
order_000428,1,credit_card,8,851.0
order_000429,1,credit_card,6,242.93
order_000430,1,boleto,2,53.26
order_000431,1,credit_card,4,660.74
order_000431,2,credit_card,8,573.76
order_000432,1,credit_card,3,979.43
order_000432,2,credit_card,9,717.44
order_000433,1,boleto,12,759.38
order_000433,2,credit_card,4,894.13
order_000434,1,credit_card,12,232.89
order_000434,2,debit_card,4,255.33
order_000435,1,boleto,4,174.78
order_000436,1,credit_card,12,120.22
order_000436,2,debit_card,5,181.65
order_000437,1,credit_card,3,67.99
order_000437,2,credit_card,9,309.7
order_000438,1,credit_card,7,426.7
order_000439,1,credit_card,10,148.86
order_000439,2,credit_card,3,243.27
order_000440,1,boleto,1,684.09
order_000441,1,credit_card,4,718.93
order_000441,2,credit_card,3,951.11
order_000442,1,credit_card,1,83.1
order_000442,2,boleto,1,947.36
order_000443,1,credit_card,10,291.5
order_000444,1,boleto,8,135.16
order_000444,2,credit_card,6,713.72
order_000445,1,credit_card,3,515.78
order_000446,1,credit_card,9,326.64
order_000447,1,voucher,3,775.04
order_000447,2,credit_card,6,338.42
order_000448,1,debit_card,6,729.45
order_000448,2,credit_card,7,352.34
order_000449,1,credit_card,4,333.42
order_000450,1,credit_card,6,30.97
order_000451,1,credit_card,12,858.35
order_000451,2,credit_card,11,713.81
order_000452,1,debit_card,12,923.43
order_000452,2,credit_card,4,516.25
order_000453,1,credit_card,4,812.12
order_000453,2,credit_card,10,943.02
order_000454,1,boleto,12,451.61
order_000454,2,credit_card,9,913.05
order_000455,1,voucher,12,506.33
order_000456,1,boleto,5,803.62
order_000456,2,credit_card,12,313.68
order_000457,1,credit_card,10,494.62
order_000458,1,credit_card,4,850.54
order_000458,2,credit_card,6,159.8
order_000459,1,boleto,7,945.98
order_000460,1,credit_card,3,431.02
order_000461,1,credit_card,9,473.14
order_000461,2,boleto,10,539.79
order_000462,1,debit_card,3,40.92
order_000463,1,credit_card,11,920.83
order_000464,1,credit_card,5,985.1
order_000464,2,credit_card,12,165.95
order_000465,1,credit_card,8,39.97
order_000466,1,credit_card,4,288.75
order_000466,2,boleto,4,709.09
order_000467,1,credit_card,4,795.2
order_000467,2,credit_card,7,412.07
order_000468,1,boleto,10,293.59
order_000468,2,boleto,7,905.02
order_000469,1,credit_card,5,329.25
order_000470,1,credit_card,2,327.34
order_000470,2,credit_card,5,51.34
order_000471,1,boleto,2,415.34
order_000471,2,credit_card,9,919.47
order_000472,1,boleto,4,443.93
order_000473,1,credit_card,6,816.8
order_000474,1,credit_card,9,352.63
order_000475,1,debit_card,12,149.0
order_000476,1,voucher,3,631.19
order_000477,1,boleto,11,795.31
order_000478,1,credit_card,3,650.62
order_000478,2,credit_card,4,833.97
order_000479,1,debit_card,1,154.24
order_000480,1,credit_card,6,607.58
order_000481,1,debit_card,7,621.17
order_000481,2,credit_card,10,235.79
order_000482,1,credit_card,9,516.6
order_000483,1,credit_card,3,873.67
order_000484,1,credit_card,11,47.7
order_000484,2,credit_card,3,413.92
order_000485,1,credit_card,11,442.2
order_000486,1,credit_card,3,603.33
order_000486,2,boleto,7,845.34
order_000487,1,credit_card,8,309.9
order_000487,2,boleto,4,556.36
order_000488,1,credit_card,3,396.59
order_000488,2,credit_card,2,685.0
order_000489,1,credit_card,1,177.94
order_000489,2,boleto,12,657.25
order_000490,1,credit_card,7,206.69
order_000490,2,credit_card,11,360.34
order_000491,1,boleto,5,675.91
order_000492,1,credit_card,4,56.0
order_000492,2,credit_card,3,851.0
order_000493,1,debit_card,6,692.4
order_000494,1,debit_card,10,954.56
order_000494,2,boleto,5,426.02
order_000495,1,credit_card,5,996.91
order_000495,2,credit_card,4,937.01
order_000496,1,voucher,6,380.16
order_000496,2,credit_card,8,823.1
order_000497,1,credit_card,10,934.65
order_000497,2,credit_card,11,551.73
order_000498,1,credit_card,3,34.75
order_000499,1,credit_card,9,948.32
order_000499,2,credit_card,3,968.27
order_000500,1,credit_card,12,296.71
order_000500,2,credit_card,7,591.22
order_000501,1,credit_card,2,181.45
order_000501,2,boleto,8,845.09
order_000502,1,credit_card,9,638.77
order_000502,2,credit_card,6,281.18
order_000503,1,credit_card,9,602.17
order_000504,1,boleto,8,993.73
order_000504,2,credit_card,2,897.71
order_000505,1,voucher,8,386.21
order_000506,1,boleto,10,46.47
order_000506,2,credit_card,4,103.4
order_000507,1,credit_card,10,258.01
order_000508,1,credit_card,11,68.86
order_000508,2,credit_card,8,85.3
order_000509,1,debit_card,10,173.56
order_000510,1,credit_card,6,785.3
order_000510,2,boleto,4,364.06
order_000511,1,credit_card,5,968.49
order_000511,2,credit_card,1,629.64
order_000512,1,boleto,2,374.61
order_000513,1,credit_card,10,932.38
order_000513,2,credit_card,3,926.06
order_000514,1,credit_card,6,794.91
order_000515,1,boleto,11,60.0
order_000515,2,credit_card,5,887.18
order_000516,1,boleto,5,892.03
order_000516,2,credit_card,9,49.23
order_000517,1,voucher,6,553.42
order_000517,2,credit_card,9,20.81
order_000518,1,credit_card,5,731.28
order_000518,2,credit_card,11,266.03
order_000519,1,credit_card,7,287.87
order_000520,1,credit_card,1,662.63
order_000520,2,credit_card,4,856.07
order_000521,1,credit_card,12,780.82
